model,category,image_auc,image_ap,precision,recall,f1,pixel_auc,mean_iou,mean_dice
CAE,bottle,0.55,0.8273313852086126,0.7590361445783133,1.0,0.863013698630137,0.6055734228339205,0.00298544871425007,0.005916643579479257
CAE,cable,0.45820839580209893,0.6134857375225036,0.6133333333333333,1.0,0.7603305785123967,0.6059899782997018,0.0004854224063550295,0.0009655130019489796
CAE,capsule,0.4770642201834863,0.8041445857507132,0.8257575757575758,1.0,0.9045643153526971,0.742534278972286,0.0036437723389144347,0.006452275468586172
CAE,carpet,0.33025682182985555,0.6651917667966727,0.7606837606837606,1.0,0.8640776699029126,0.5382914348053586,0.00044150157231680393,0.0008729667442571683
CAE,grid,0.7794486215538846,0.917067639108331,0.8059701492537313,0.9473684210526315,0.8709677419354839,0.6164490439570962,0.0018425469307782347,0.003631989392507744
CAE,hazelnut,0.8767857142857143,0.9300839766178748,0.8024691358024691,0.9285714285714286,0.8609271523178808,0.8663178133019436,0.05912187759231271,0.0992501181544893
CAE,leather,0.44667119565217395,0.7532862641030141,0.7419354838709677,1.0,0.8518518518518519,0.6622194482891057,0.020105331556855205,0.03868741153314237
CAE,metal_nut,0.2678396871945259,0.7016713340388753,0.808695652173913,1.0,0.8942307692307693,0.7477655249090548,0.0006012831448077539,0.00119835975232227
CAE,pill,0.7506819421713039,0.9350794016858586,0.875,0.9929078014184397,0.9302325581395349,0.5,0.04046910674675008,0.06826334652725496
CAE,screw,0.9788891166222586,0.9926283538651312,0.9504132231404959,0.9663865546218487,0.9583333333333334,0.5,0.0004993931936103139,0.0009844708875606056
CAE,tile,0.8217893217893217,0.9257796748042126,0.8061224489795918,0.9404761904761905,0.8681318681318682,0.6687898825959364,0.002116526377899343,0.004156098396324453
CAE,toothbrush,0.6555555555555556,0.8127595450981981,0.75,1.0,0.8571428571428571,0.8446273402323271,0.013480802472383145,0.024947833084551643
CAE,transistor,0.4033333333333333,0.4324590380529487,0.4,1.0,0.5714285714285714,0.5597658868458077,0.0006577406824989072,0.001311142374214188
CAE,wood,0.9482456140350878,0.9831698178828455,0.9090909090909091,1.0,0.9523809523809523,0.7010093303882139,0.010497033855520673,0.02040571389929253
CAE,zipper,0.5055147058823529,0.8443237949838178,0.7880794701986755,1.0,0.8814814814814815,0.661619135654098,0.0027316475485384523,0.005351942246012002
VAE,bottle,0.19920634920634922,0.6175524553353544,0.7590361445783133,1.0,0.863013698630137,0.7781977903941923,0.03095150492146065,0.05426802402626798
VAE,cable,0.3605697151424288,0.5639613428240675,0.6133333333333333,1.0,0.7603305785123967,0.5,0.02530282830457668,0.04480155493556705
VAE,capsule,0.48185081771041094,0.8040144157085144,0.8257575757575758,1.0,0.9045643153526971,0.5,0.007370268198693474,0.012450444377873739
VAE,carpet,0.6171749598715892,0.8681355836769687,0.7606837606837606,1.0,0.8640776699029126,0.5,0.009453914936652603,0.017910623718175124
VAE,grid,0.2974101921470343,0.686086222289015,0.7307692307692307,1.0,0.8444444444444444,0.5,0.005440171452224027,0.009302463615271301
VAE,hazelnut,0.25499999999999995,0.6298589873271725,0.6363636363636364,1.0,0.7777777777777778,0.5,0.0948938840696741,0.1609452680912822
VAE,leather,0.30332880434782605,0.6887662429277666,0.7419354838709677,1.0,0.8518518518518519,0.5,0.022729223276331163,0.04326941802190897
VAE,metal_nut,0.1515151515151515,0.6514257071535445,0.808695652173913,1.0,0.8942307692307693,0.5,0.010740215826582446,0.019193843915464356
VAE,pill,0.6014729950900164,0.8950883982703821,0.8493975903614458,1.0,0.9185667752442996,0.5,0.08132982566280336,0.1281756044406723
VAE,screw,0.0737856118056979,0.5489317811196386,0.74375,1.0,0.8530465949820788,0.5,0.014997570687987129,0.02615797129634947
