category,auc,final_loss
bottle,0.5373015873015873,0.030351914997611727
cable,0.4643928035982009,0.0316243687910693
capsule,0.46589549262066215,0.01649717367919428
carpet,0.33186195826645265,0.037351693544122905
grid,0.8696741854636593,0.033640225472695684
hazelnut,0.8878571428571429,0.0067668045870959755
leather,0.38858695652173914,0.01563752314541489
metal_nut,0.26832844574780057,0.014652797087494816
pill,0.762138570649209,0.00453714670284706
screw,0.9858577577372414,0.012976948264986276
tile,0.8077200577200577,0.025983076170086862
toothbrush,0.6499999999999999,0.026631439570337534
transistor,0.44500000000000006,0.015696289017796516
wood,0.962280701754386,0.01701268198667094
zipper,0.48739495798319327,0.02710117312769095
