category,auc,fit_time_s,memory_bank_size
bottle,0.3880952380952381,10.9,21401
cable,0.678223388305847,15.4,22937
capsule,0.5059832469086558,14.6,22425
carpet,0.6304173354735153,18.0,28672
grid,0.6616541353383458,10.0,27033
hazelnut,0.9325,24.7,40038
leather,0.7129755434782609,13.6,25088
metal_nut,0.7649071358748778,7.9,22528
pill,0.6674849972722313,11.9,27340
screw,0.6929698708751795,12.2,32768
tile,0.7012987012987012,11.5,23552
toothbrush,0.46111111111111114,3.6,6144
transistor,0.49083333333333334,13.6,21811
wood,0.8429824561403509,15.9,25292
zipper,0.36449579831932777,9.6,24576
