category,auc,epochs,train_time_s
bottle,0.4404761904761904,50,554.3
cable,0.4855697151424288,50,806.7
capsule,0.42800159553250894,40,627.8
carpet,0.5132423756019262,35,691.3
grid,0.6131996658312449,23,284.1
hazelnut,0.7899999999999999,32,868.9
leather,0.7595108695652173,45,696.0
metal_nut,0.42179863147605084,50,510.3
pill,0.8398799781778505,49,707.0
screw,0.0008198401311744218,29,437.3
tile,0.862914862914863,35,464.4
toothbrush,0.6361111111111111,50,211.3
transistor,0.5733333333333334,50,780.1
wood,0.9596491228070175,31,540.0
zipper,0.5879726890756303,48,522.4
